U_In-5p,U_Sb-5p,Eg(eV)
-0.15,2.7,0.23401314895220027
-0.14,2.7,0.23555674624761058
-0.13,2.7,0.23710034355794818
-0.13,2.69,0.23392660820549993
-0.12,2.69,0.2354702055104232
-0.11,2.69,0.2370343041029921
-0.11,2.68,0.2338554034227428
-0.1,2.68,0.23540839230016264
-0.09,2.68,0.2369613811787823
-0.09,2.67,0.23379836221104422
-0.08,2.67,0.2353462578419131
-0.07,2.67,0.2368941534825345
-0.07,2.66,0.2337457448615461
-0.06,2.66,0.23529470081313897
-0.05,2.66,0.23685101674625697
-0.05,2.65,0.23369721917168473
-0.04,2.65,0.2352535351013083
-0.03,2.65,0.23680985102185292
-0.03,2.64,0.2336560534621297
-0.02,2.64,0.23521236939373624
-0.01,2.64,0.23677874506415453
-0.01,2.63,0.23362226292456578
0.0,2.63,0.23518595428979427
0.01,2.63,0.23674964565648593
0.01,2.62,0.23356715735066302
0.02,2.62,0.23513272880556746
0.03,2.62,0.23669830025980265
0.03,2.61,0.23353086177699633
0.04,2.61,0.2350962330584957
0.05,2.61,0.2366622739021098
0.05,2.6,0.23349448230644732
0.06,2.6,0.2350605231529409
0.07,2.6,0.2366265640040347
0.07,2.59,0.23345877240041724
0.08,2.59,0.23502481325177027
0.09,2.59,0.23661366792335703
0.09,2.58,0.23344054603957975
0.1,2.58,0.23501054344661187
0.11,2.58,0.23658054085379288
0.11,2.57,0.2334335382099515
0.12,2.57,0.23500257437691974
0.13,2.57,0.23657161054065634
0.13,2.56,0.233403977287841
0.14,2.56,0.23498181064194668
0.15,2.56,0.23656489979419804
0.15,2.55,0.2333895937149043
0.16,2.55,0.2349726828671097
0.17,2.55,0.23655577205899625
0.17,2.54,0.23338046596949258
0.18,2.54,0.2349635551258733
0.19,2.54,0.23655396680236118
0.19,2.53,0.23337663255709296
0.2,2.53,0.23496721010414756
0.21,2.53,0.23655778764947655
0.21,2.52,0.23335255809215028
0.22,2.52,0.2349440532645689
0.23,2.52,0.23653554843863533
0.23,2.51,0.23335291298784444
0.24,2.51,0.23495824488803085
0.25,2.51,0.23655602804282017
0.25,2.5,0.23337190636893856
0.26,2.5,0.2349696895213632
0.27,2.5,0.23656747266851885
0.27,2.49,0.2333833510027692
0.28,2.49,0.2349811341470236
0.29,2.49,0.2366156974756124
0.29,2.48,0.2334228179251392
0.3,2.48,0.23503121193727272
0.31,2.48,0.23663960594929667
0.31,2.47,0.23348177951804172
0.32,2.47,0.2350867031516487
0.33,2.47,0.23669162681721423
0.33,2.46,0.23351949242057413
0.34,2.46,0.23512908874180438
0.35,2.46,0.23675145304732947
0.35,2.45,0.23356844241699493
0.36,2.45,0.235190806749501
0.37,2.45,0.23681317107013566
0.37,2.44,0.23363016043242413
0.38,2.44,0.23525252475830938
0.39,2.44,0.23688120640715205
0.39,2.43,0.23369625765574442
0.4,2.43,0.23533057108001998
0.41,2.43,0.2369648844967197
0.41,2.42,0.23376897647892203
0.42,2.42,0.23540057309924056
0.43,2.42,0.2370321697168113
0.43,2.41,0.23386356100805394
0.44,2.41,0.23550863953302315
0.45,2.41,0.23714320603544126
0.45,2.4,0.2339752558932009
0.46,2.4,0.23560982239973782
0.47,2.4,0.23724438889849875
0.47,2.39,0.23407643875740214
0.48,2.39,0.23571100525806732
0.49,2.39,0.23734579822014623
0.49,2.38,0.23417771904341012
0.5,2.38,0.23581428022332596
0.5,2.37,0.23264620104818767
0.51,2.37,0.23429858170494577
