U_Ga-4p,U_As-4p,a(A),Eg(eV),meff
5.65,0.5,5.482774064783897,1.5148078781633305,0.0871296001502752
5.7,0.5,5.480819439835484,1.5251200070773445,0.08776990976142067
5.7,0.45,5.482099879815218,1.5102458851904315,0.08716718748051365
5.75,0.45,5.480139403214917,1.5205914457867444,0.08781286462241196
5.8,0.45,5.478357784150299,1.5301796437400672,0.08842442896256532
5.8,0.4,5.479553695186696,1.5156889128885762,0.08783974979920958
5.85,0.4,5.477687515044076,1.5256465559240249,0.08847294630141195
5.85,0.35,5.47888338328977,1.5111774236939626,0.08788749811935243
5.9,0.35,5.477019960167183,1.521131379642524,0.08852440721108518
5.95,0.35,5.4751630090802665,1.5310648276788765,0.08916279540056539
5.95,0.3,5.476353565404818,1.5166413984367642,0.08857909115611363
6.0,0.3,5.474501960054271,1.5265593946726967,0.0892207571329619
6.0,0.25,5.47569322388951,1.512155102000303,0.08863609576713435
6.05,0.25,5.47384197034628,1.5220795941999816,0.08928212808217093
6.05,0.2,5.475032237497105,1.507701590382648,0.0886968442101627
6.1,0.2,5.47318338203823,1.5176232783636003,0.08934684013241834
6.15,0.2,5.471344461231717,1.5275092823784966,0.08999786933546895
6.15,0.15,5.472531293986575,1.5131685443269893,0.08941389949222334
6.2,0.15,5.470691113147929,1.5230676469973257,0.09006978705149944
6.2,0.1,5.471877822248188,1.5087502450769936,0.0894849474232552
6.25,0.1,5.470041581864658,1.5186399286505008,0.09014463364640082
6.3,0.1,5.468217922949272,1.5284828644928565,0.09080492101030967
6.3,0.05,5.469392806941475,1.5142392222931242,0.09022312957393562
6.35,0.05,5.46757211712074,1.5240772963361642,0.09088749775462326
6.35,0.0,5.468751809088572,1.5098351180006053,0.09030383388659392
6.4,0.0,5.466929205854674,1.5196888403529683,0.09097343646011873
6.45,0.0,5.465102414459071,1.5295673397103773,0.09164748802153477
6.45,-0.05,5.4662872438597185,1.5153269215614573,0.09106315287472332
